sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
ST200001,A,1,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
ST200001,B,1,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST200081,A,1,2020-03-31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST200081,B,1,2020-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST200121,A,1,2020-04-06,NA,NA,NA,NA,NA,2,3,1,NA,NA
ST200121,B,1,2020-04-06,1,1,NA,NA,NA,NA,3,1,NA,5
ST200161,A,1,2020-04-14,1,1,NA,NA,NA,1,1,NA,NA,1
ST200161,B,1,2020-04-14,1,3,NA,NA,NA,NA,3,1,NA,3
ST200162,A,1,2020-04-14,NA,NA,NA,NA,NA,NA,1,NA,NA,4
ST200162,B,1,2020-04-14,1,NA,NA,NA,NA,NA,1,NA,NA,3
ST200163,A,1,2020-04-14,NA,1,,NA,NA,1,NA,NA,NA,5
ST200163,B,1,2020-04-14,NA,1,NA,NA,NA,NA,2,NA,NA,NA
ST200164,A,1,2020-04-14,NA,NA,NA,NA,NA,NA,1,1,NA,5
ST200164,B,1,2020-04-14,NA,1,NA,NA,NA,NA,1,3,NA,3
ST200165,A,1,2020-04-14,1,NA,NA,NA,NA,NA,3,1,NA,3
ST200165,B,1,2020-04-14,1,2,NA,NA,NA,2,7,NA,NA,4
ST200201,A,1,2020-04-20,4,1,NA,NA,NA,NA,132,NA,NA,4
ST200201,B,1,2020-04-20,2,1,NA,NA,NA,NA,102,NA,NA,2
ST200202,A,1,2020-04-20,1,1,,NA,NA,NA,3,2,NA,5
ST200202,B,1,2020-04-20,1,NA,NA,NA,NA,NA,5,NA,NA,3
ST200203,A,1,2020-04-20,NA,2,NA,NA,NA,NA,3,NA,NA,6
