sample_id,side_or_trapnum,watershed,date,dipteran_large,terrestrial_large,caddisfly_large,mayfly_large,stonefly_large,other_large,dipteran_small,terrestrial_small,caddisfly_small,other_small
NA,1,1,NA,NA,NA,NA,NA,NA,1,20,NA,NA,14
NA,1,1,NA,6,NA,NA,NA,NA,3,17,3,NA,7
NA,1,1,NA,2,1,NA,NA,NA,4,13,NA,NA,22
NA,1,1,NA,3,NA,NA,NA,NA,1,10,1,NA,2
NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1
NA,1,1,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA
NA,1,1,NA,NA,NA,NA,NA,NA,NA,15,2,NA,5
NA,1,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
NA,1,1,NA,NA,NA,NA,NA,1,2,5,2,NA,4
NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA
NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA
NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10,1,NA,NA,NA,NA,NA,NA,1,10,NA,NA,2
NA,10,1,NA,1,1,NA,NA,NA,1,23,2,NA,3
NA,10,1,NA,1,NA,NA,NA,NA,NA,10,5,NA,5
NA,10,1,NA,NA,NA,NA,NA,NA,NA,5,2,NA,3
NA,10,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2
NA,10,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,10,1,NA,NA,1,NA,NA,NA,NA,15,2,NA,2
NA,10,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,10,1,NA,2,NA,NA,NA,NA,1,6,NA,NA,NA
NA,10,1,NA,NA,NA,NA,NA,NA,NA,9,2,NA,3
NA,10,1,NA,NA,1,NA,NA,NA,1,7,NA,NA,3
NA,10,1,NA,1,2,NA,NA,NA,1,37,NA,NA,NA
NA,2,1,NA,NA,NA,NA,NA,NA,1,6,4,NA,8
NA,2,1,NA,2,NA,NA,NA,NA,1,10,NA,NA,6
NA,2,1,NA,1,NA,NA,NA,NA,2,9,1,NA,5
NA,2,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,2
NA,2,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2
NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,2,1,NA,3,NA,NA,NA,NA,1,18,1,NA,2
NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,2,1,NA,NA,NA,1,NA,1,8,9,2,NA,7
NA,2,1,NA,NA,1,NA,NA,NA,4,14,1,NA,7
NA,2,1,NA,NA,NA,NA,NA,NA,3,9,NA,NA,5
NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,1,NA,3,NA,NA,NA,NA,3,11,1,NA,13
NA,3,1,NA,1,1,NA,NA,NA,NA,14,NA,NA,8
NA,3,1,NA,1,NA,NA,NA,NA,7,21,3,NA,5
NA,3,1,NA,NA,NA,NA,NA,NA,NA,4,1,NA,2
NA,3,1,NA,1,NA,NA,NA,NA,NA,7,1,NA,4
NA,3,1,NA,NA,NA,NA,NA,NA,NA,13,1,NA,4
NA,3,1,NA,1,NA,NA,NA,NA,NA,6,2,NA,1
NA,3,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
NA,3,1,NA,NA,NA,NA,NA,NA,NA,3,5,NA,2
NA,3,1,NA,NA,1,NA,NA,NA,NA,11,NA,NA,2
NA,3,1,NA,NA,NA,NA,NA,1,3,7,1,NA,NA
NA,3,1,NA,1,NA,NA,NA,NA,NA,62,NA,NA,7
NA,4,1,NA,4,1,NA,NA,NA,7,14,2,NA,14
NA,4,1,NA,4,2,NA,NA,NA,NA,11,NA,NA,2
NA,4,1,NA,1,NA,NA,NA,NA,1,8,1,NA,3
NA,4,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,2
NA,4,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,4,1,NA,2,NA,NA,NA,NA,NA,11,2,NA,3
NA,4,1,NA,NA,2,NA,NA,NA,NA,12,4,NA,NA
NA,4,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,4,1,NA,NA,NA,NA,NA,NA,3,8,NA,NA,3
NA,4,1,NA,NA,NA,NA,NA,NA,2,10,NA,NA,5
NA,4,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1
NA,4,1,NA,3,NA,NA,NA,NA,NA,37,1,NA,6
NA,5,1,NA,3,1,NA,NA,NA,5,13,3,NA,23
NA,5,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,4
NA,5,1,NA,2,NA,NA,NA,NA,2,10,2,NA,3
NA,5,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,5,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3
NA,5,1,NA,1,NA,NA,NA,NA,NA,19,NA,NA,2
NA,5,1,NA,NA,NA,NA,NA,NA,NA,6,1,NA,1
NA,5,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,5,1,NA,NA,1,NA,NA,NA,3,9,2,NA,3
NA,5,1,NA,NA,NA,NA,NA,NA,1,13,1,NA,2
NA,5,1,NA,NA,NA,NA,NA,NA,1,11,1,NA,NA
NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,6,1,NA,3,1,NA,NA,NA,12,29,3,NA,21
NA,6,1,NA,2,NA,NA,NA,NA,NA,4,NA,NA,7
NA,6,1,NA,1,NA,NA,NA,NA,1,13,2,NA,3
NA,6,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5
NA,6,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2
NA,6,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,3
NA,6,1,NA,1,NA,NA,NA,NA,NA,11,NA,NA,2
NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
NA,6,1,NA,NA,NA,NA,NA,NA,2,7,4,NA,2
NA,6,1,NA,NA,NA,NA,NA,NA,2,10,NA,NA,4
NA,6,1,NA,1,1,NA,NA,2,3,11,2,NA,1
NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,7,1,NA,NA,NA,NA,NA,NA,NA,14,2,NA,7
NA,7,1,NA,NA,NA,NA,NA,NA,2,4,2,NA,8
NA,7,1,NA,1,NA,NA,NA,NA,NA,6,4,NA,1
NA,7,1,NA,NA,NA,NA,NA,NA,NA,8,3,NA,4
NA,7,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2
NA,7,1,NA,NA,NA,NA,NA,NA,NA,6,2,NA,3
NA,7,1,NA,4,NA,NA,NA,NA,NA,12,2,NA,NA
NA,7,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,7,1,NA,1,NA,NA,NA,NA,2,5,NA,NA,NA
NA,7,1,NA,1,NA,NA,NA,NA,2,16,1,NA,7
NA,7,1,NA,1,NA,NA,NA,NA,4,13,NA,NA,1
NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,8,1,NA,1,NA,NA,NA,NA,1,10,2,NA,4
NA,8,1,NA,3,NA,NA,NA,1,3,15,2,NA,12
NA,8,1,NA,NA,NA,NA,NA,NA,5,17,2,NA,2
NA,8,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2
NA,8,1,NA,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,8,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
NA,8,1,NA,NA,NA,NA,NA,NA,NA,14,1,NA,1
NA,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1
NA,8,1,NA,NA,NA,NA,NA,NA,5,7,2,NA,4
NA,8,1,NA,NA,NA,NA,NA,1,1,11,NA,NA,2
NA,8,1,NA,NA,1,NA,NA,NA,NA,13,NA,NA,1
NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,1,NA,1,2,NA,NA,NA,3,25,7,NA,22
NA,9,1,NA,2,2,NA,NA,NA,3,16,4,NA,6
NA,9,1,NA,1,NA,NA,NA,NA,2,18,NA,NA,1
NA,9,1,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2
NA,9,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,9,1,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA
NA,9,1,NA,1,NA,NA,NA,NA,NA,14,3,NA,NA
NA,9,1,NA,2,NA,NA,NA,NA,NA,4,1,NA,NA
NA,9,1,NA,NA,NA,NA,NA,NA,1,9,NA,NA,5
NA,9,1,NA,NA,NA,NA,NA,NA,2,2,3,NA,1
NA,9,1,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1
NA,9,1,NA,5,NA,NA,NA,NA,NA,31,NA,NA,5
NA,1,2,NA,4,NA,NA,NA,1,3,23,5,NA,18
NA,1,2,NA,1,NA,NA,NA,NA,2,13,NA,NA,1
NA,1,2,NA,NA,1,NA,NA,NA,2,19,1,NA,3
NA,1,2,NA,3,NA,NA,NA,1,NA,7,1,NA,3
NA,10,2,NA,1,NA,NA,NA,NA,3,17,2,NA,13
NA,10,2,NA,8,NA,NA,NA,NA,2,24,3,NA,4
